Datum,Baum,Umfang_10cm,Umfang_1m,Blattlaenge,Gewicht,Farbe,Standort,Frassspuren,Fundort
28.10.20,Birke,103,85,38,1,gelb,Stadtrand,nein,Baum
28.10.20,Buche,230,210,95,1,braun,Stadtrand,Ja,Boden
28.10.20,Ahorn,180,155,84,2,gelb,Stadtrand,nein,Boden
28.10.20,Birke,103,85,40,1,gelb,Stadtrand,nein,Boden
28.10.20,Ahorn,25,20,59,2,braun,Stadtrand,nein,Boden
28.10.20,Ahorn,55,34,105,3,gelb,Stadtrand,Ja,Baum
28.10.20,Ahorn,116,91,96,2,gelb,Stadtrand,nein,Boden
28.10.20,Birke,134,99,55,1,gruen,Stadtrand,Ja,Baum
28.10.20,Eiche,22,18,66,2,braun,Stadtrand,nein,Boden
28.10.20,Eiche,23,18,69,2,braun,Stadtrand,nein,Baum
07.11.20,Birke,76,56,73,0.3,braun,Stadtrand,nein,Baum
07.11.20,Eiche,160,120,95,1,gruen,Stadtrand,nein,Boden
07.11.20,Linde,300,255,105,0.6,gelb,Waldrand,nein,Boden
07.11.20,Ahorn,113.5,102.5,121,0.5,gelb,Stadtrand,nein,Boden
07.11.20,Ahorn,37,27.8,126,0.6,gelb,Stadtrand,ja,Boden
07.11.20,Buche,165,170,70,0.3,braun,Stadtrand,nein,Boden
07.11.20,Buche,244,206,90,0.1,gelb,Stadtrand,nein,Baum
07.11.20,Birke,184,150,73,0.1,braun,Waldrand,nein,Boden
07.11.20,Ahorn,212,173,219,1.2,gruen,Stadtrand,nein,Boden
01.11.20,Ahorn,37,30,103,1,gelb,Waldrand,nein,Boden
01.11.20,Birke,118,104,50,0.5,gelb,Waldrand,nein,Boden
01.11.20,Birke,80,71,89,0.5,gelb,Waldrand,ja,Boden
01.11.20,Buche,51,43,98,0.5,gelb,Waldrand,nein,Baum
01.11.20,Buche,29,27,96,0.5,gruen,Waldrand,ja,Baum
01.11.20,Eiche,12,10,89,0.5,gruen,Waldrand,nein,Baum
01.11.20,Eiche,82,65,134,0.5,braun,Stadtrand,ja,Boden
01.11.20,Linde,167,140,84,0.5,gelb,Waldrand,ja,Boden
01.11.20,Linde,155,140,70,1,gruen,Waldrand,nein,Boden
15.11.20,Buche,145,138,70,0.13,gelb,Stadt,nein,Boden
15.11.20,Ahorn,246,217,140,0.6,braun,Stadt,ja,Boden
15.11.20,Birke,134,113,50,0.2,braun,Stadt,nein,Boden
15.11.20,Birke,141,144,60,0.05,braun,Stadt,nein,Boden
15.11.20,Ahorn,177,154,181,1,braun,Stadt,nein,Boden
15.11.20,Ahorn,143,88,200,0.7,braun,Stadt,nein,Boden
15.11.20,Buche,78,55,71,0.2,braun,Stadt,ja,Boden
15.11.20,Eiche,224,170,89,0.25,braun,Stadt,nein,Boden
15.11.20,Buche,142,112,70,0.15,braun,Stadt,nein,Boden
15.11.20,Birke,178,114,48,0.2,braun,Stadt,nein,Boden
13.11.20,Ahorn,84,92,91,0.5,gelb,Waldrand,nein,Boden
13.11.20,Buche,94,98,87,0.3,gruen,Waldrand,nein,Baum
13.11.20,Buche,97,79,71,0.15,gelb,Waldrand,nein,Boden
13.11.20,Birke,136,114,48,0.1,gelb,Waldrand,ja,Boden
13.11.20,Ahorn,45,38,122,0.9,braun,Wald,nein,Boden
13.11.20,Eiche,148,148,118,0.8,gruen,Waldrand,nein,Boden
13.11.20,Ahorn,62,60,150,1.6,rot,Wald,ja,Boden
13.11.20,Birke,112,102,72,0.2,gelb,Wald,ja,Baum
13.11.20,Birke,28,21,102,0.4,gelb,Waldrand,nein,Baum
13.11.20,Eiche,24,19,105,0.7,braun,Wald,ja,Baum
31.10.20,Eiche,250,200,90,0.5,,Waldrand,nein,Baum
31.10.20,Buche,25,19,110,0.2,,Wald,ja,Baum
31.10.20,Birke,150,116,48,0.1,,Wald,nein,Boden
31.10.20,Ahorn,18.5,15,155,2,,Waldrand,nein,Boden
13.11.20,Ahorn,28.7,19.6,236,0.9,gelb,Stadtrand,nein,Boden
14.11.20,Ahorn,48.7,42,73,0.5,gelb,Waldrand,ja,Baum
13.11.20,Birke,93.6,69,69,0.2,braun,Stadtrand,nein,Baum
14.11.20,Buche,67.5,63.8,85,0.4,gelb,Wald,nein,Baum
14.11.20,Buche,111,103.9,87,0.3,braun,Wald,nein,Boden
14.11.20,Buche,67.5,60.8,66,0.2,braun,Wald,nein,Boden
13.11.20,Eiche,256,242,98,0.45,braun,Waldrand,nein,Baum
14.11.20,Eiche,102.8,88.5,79,0.45,braun,Wald,nein,Boden
14.11.20,Eiche,126.5,112.5,152,0.8,braun,Wald,nein,Boden
01.11.20,Ahorn,149,140,120,2,gelb,Stadtrand,nein,Boden
01.11.20,Ahorn,141,124,85,1,gruen,Stadtrand,nein,Baum
01.11.20,Birke,9.5,8,65,0.5,gruen,Stadtrand,nein,Baum
01.11.20,Buche,59,44,100,0.8,gruen,Waldrand,nein,Baum
01.11.20,Birke,22,18,90,0.5,gruen,Waldrand,nein,Baum
01.11.20,Ahorn,139,84,50,0.2,rot,Stadtrand,nein,Boden
01.11.20,Birke,160,143,60,0.2,gruen,Stadtrand,nein,Boden
01.11.20,Eiche,285,260,120,0.7,braun,Stadtrand,nein,Boden
01.11.20,Buche,102,83,110,1,braun,Stadt,nein,Boden
11.11.20,Ahorn,130,117,180,6,gelb,Wald,nein,Boden
11.11.20,Ahorn,64,63,180,5,rot,Wald,nein,Boden
11.11.20,Ahorn,33,30,210,5,gelb,Wald,nein,Baum
11.11.20,Buche,164,153,120,4,braun,Wald,nein,Boden
11.11.20,Birke,23,18,90,2,gelb,Waldrand,nein,Boden
11.11.20,Eiche,74,59,150,4,braun,Wald,nein,Boden
11.11.20,Eiche,21,19,110,3,braun,Wald,nein,Boden
11.11.20,Linde,43,28,90,2,gelb,Wald,nein,Boden
11.11.20,Buche,29,25,100,2,braun,Wald,nein,Boden
11.11.20,Ahorn,67,63,160,5,rot,Wald,nein,Boden
16.11.20,Birke,67,56,7.5,0.25,gelb,Stadtrand,nein,Boden
16.11.20,Buche,29,22,20,2,braun,Stadt,nein,Boden
16.11.20,Buche,33,25,20.5,2.15,braun,Stadt,nein,Boden
16.11.20,Buche,75,63,19,1.95,braun,Waldrand,nein,Baum
16.11.20,Birke,75,68,7.7,0.25,gelb,Waldrand,nein,Boden
,Birke,60,55,60,0.2,gruen,Stadtrand,ja,Baum
,Linde,85,70,105,0.5,gelb,Stadtrand,ja,Boden
,Linde,90,80,110,0.6,gruen,Stadtrand,nein,Baum
,Linde,100,80,85,0.4,gelb,Stadtrand,ja,Boden
,Linde,75,70,105,0.4,gelb,Stadtrand,ja,Boden
,Eiche,50,80,130,0.6,gelb,Stadtrand,ja,Boden
,Eiche,70,65,120,0.6,braun,Stadtrand,ja,Boden
,Buche,110,45,110,0.5,gruen,Stadtrand,nein,Boden
,Birke,50,40,100,0.5,gelb,Stadtrand,ja,Boden
,Ahorn,25,20,155,0.7,gruen,Stadtrand,nein,Baum
07.11.20,Eiche,408,345,114,,braun,Stadtrand,nein,Boden
07.11.20,Ahorn,204,172,145,,gelb,Stadtrand,ja,Boden
