#"+EI TIC Scan Aro_1.D "
#Point,X(Minutes),Y(Counts)
0,3.591,0.131705169133026
1,3.594,0.0845271981003004
2,3.597,0.0833477488244822
3,3.601,0.1104750821683
4,3.604,0.0860997971347246
5,3.608,0.0656560096872101
6,3.611,0.119517526616239
7,3.615,0.112833980719936
8,3.618,0.0967148406170879
9,3.621,0.0833477488244822
10,3.625,0.0892449952035729
11,3.628,0.123055874443693
12,3.632,0.089638144962179
13,3.635,0.0794162512384217
14,3.639,0.129739420339996
15,3.642,0.0589724637909072
16,3.645,0.0621176618597556
17,3.649,0.0967148406170879
18,3.652,0.064869710169998
19,3.656,0.11637232854739
20,3.659,0.0739121546179371
21,3.663,0.0727327053421189
22,3.666,0.0805957005142399
23,3.669,0.0994668889273302
24,3.673,0.0790231014798157
25,3.676,0.0672286087216342
26,3.680,0.114013429995754
27,3.683,0.0467848212741197
28,3.687,0.0707669565490887
29,3.690,0.0943559420654516
30,3.693,0.0676217584802403
31,3.697,0.103791536271997
32,3.700,0.103791536271997
33,3.704,0.118338077340421
34,3.707,0.109688782651087
35,3.711,0.0868860966519367
36,3.714,0.110868231926906
37,3.717,0.0766642029281794
38,3.721,0.0754847536523613
39,3.724,0.106936734340845
40,3.728,0.0849203478589064
41,3.731,0.0727327053421189
42,3.735,0.0916038937552092
43,3.738,0.110081932409694
44,3.741,0.0908175942379971
45,3.745,0.0919970435138153
46,3.748,0.081775149790058
47,3.752,0.106150434823633
48,3.755,0.0825614493072701
49,3.759,0.0888518454449669
50,3.762,0.0522889178946044
51,3.765,0.0691943575146645
52,3.769,0.101825787478966
53,3.772,0.0892449952035729
54,3.776,0.0935696425482395
55,3.779,0.0778436522039976
56,3.783,0.0837408985830883
57,3.786,0.0821682995486641
58,3.789,0.0644765604113919
59,3.793,0.0534683671704226
60,3.796,0.0609382125839375
61,3.800,0.0853134976175125
62,3.803,0.0798094009970278
63,3.807,0.057399864756483
64,3.810,0.090031294720785
65,3.813,0.065262859928604
66,3.817,0.0754847536523613
67,3.820,0.0664423092044222
