#"+EI TIC Scan FA_1.D "
#Point,X(Minutes),Y(Counts)
0,3.591,0.0781475510247186
1,3.594,0.0844838389456417
2,3.597,0.081667710980787
3,3.601,0.0665310231696928
4,3.604,0.102788670717197
5,3.608,0.0492822393849576
6,3.611,0.0675870711565134
7,3.615,0.0665310231696928
8,3.618,0.0499862713761713
9,3.621,0.0686431191433339
10,3.625,0.0633628792092313
11,3.628,0.059490703257556
12,3.632,0.0830757749632143
13,3.635,0.0626588472180176
14,3.639,0.0700511831257612
15,3.642,0.0566745752927013
16,3.645,0.0415378874816072
17,3.649,0.0686431191433339
18,3.652,0.0848358549412485
19,3.656,0.0478741754025303
20,3.659,0.0753314230598638
21,3.663,0.0644189271960518
22,3.666,0.0619548152268039
23,3.669,0.068291103147727
24,3.673,0.085891902928069
25,3.676,0.0830757749632143
26,3.680,0.0619548152268039
27,3.683,0.0538584473278466
28,3.687,0.0774435190335049
29,3.690,0.0605467512443765
30,3.693,0.0587866712663423
31,3.697,0.0753314230598638
32,3.700,0.0464661114201029
33,3.704,0.0675870711565134
34,3.707,0.085891902928069
35,3.711,0.0630108632136244
36,3.714,0.0520983673498124
37,3.717,0.0510423193629919
38,3.721,0.0679390871521202
39,3.724,0.0387217595167524
40,3.728,0.0376657115299319
41,3.731,0.0774435190335049
42,3.735,0.0510423193629919
43,3.738,0.0411858714860003
44,3.741,0.0556185273058808
45,3.745,0.0651229591872655
46,3.748,0.0753314230598638
47,3.752,0.0535064313322397
48,3.755,0.0415378874816072
49,3.759,0.0327374875914362
50,3.762,0.0457620794288892
51,3.765,0.0496342553805645
52,3.769,0.059490703257556
53,3.772,0.0725152950950091
54,3.776,0.0598427192531629
55,3.779,0.0820197269763938
56,3.783,0.0668830391652997
57,3.786,0.0415378874816072
58,3.789,0.0633628792092313
59,3.793,0.0376657115299319
60,3.796,0.0552665113102739
61,3.800,0.0700511831257612
62,3.803,0.105604798682052
63,3.807,0.0580826392751287
64,3.810,0.0848358549412485
65,3.813,0.0499862713761713
66,3.817,0.0711072311125818
67,3.820,0.0851878709368554
68,3.824,0.0700511831257612
69,3.827,0.0637148952048381
70,3.831,0.0510423193629919
71,3.834,0.0630108632136244
72,3.837,0.0492822393849576
73,3.841,0.0528023993410261
74,3.844,0.0623068312224107
75,3.848,0.0880039989017101
76,3.851,0.0626588472180176
77,3.855,0.0429459514640345
78,3.858,0.0450580474376756
79,3.861,0.0492822393849576
80,3.865,0.0373136955343251
81,3.868,0.0415378874816072
82,3.872,0.0383697435211456
83,3.875,0.0454100634332824
84,3.879,0.0605467512443765
85,3.882,0.035201599560684
86,3.885,0.0429459514640345
87,3.889,0.0380177275255388
88,3.892,0.0570265912883081
89,3.896,0.041889903477214
90,3.899,0.0591386872619492
91,3.903,0.0422419194728208
92,3.906,0.0450580474376756
93,3.909,0.0482261913981371
94,3.913,0.0422419194728208
95,3.916,0.044001999450855
96,3.920,0.0616027992311971
97,3.923,0.0380177275255388
98,3.927,0.041889903477214
99,3.930,0.0380177275255388
100,3.933,0.0492822393849576
101,3.937,0.0668830391652997
102,3.940,0.0390737755123593
103,3.944,0.0668830391652997
104,3.947,0.0464661114201029
105,3.951,0.0908201268665648
106,3.954,0.0619548152268039
107,3.957,0.0718112631037954
108,3.961,0.0887080308929238
109,3.964,0.112997134589796
110,3.968,0.146790670168052
111,3.971,0.132358014348172
112,3.975,0.109476974633727
113,3.978,0.1080689106513
114,3.981,0.0961003668006674
115,3.985,0.0908201268665648
116,3.988,0.0707552151169749
117,3.992,0.0735713430818296
118,3.995,0.0542104633234534
119,3.999,0.0545624793190603
120,4.002,0.0323854715958293
121,4.005,0.0732193270862228
122,4.009,0.0422419194728208
123,4.012,0.0520983673498124
124,4.016,0.057378607283915
125,4.019,0.0552665113102739
126,4.023,0.0538584473278466
127,4.026,0.0341455515738635
128,4.029,0.0246411196924788
129,4.033,0.066179007174086
130,4.036,0.0408338554903935
131,4.040,0.0644189271960518
132,4.043,0.00387217595167524
133,4.047,0.033089503587043
134,4.050,0.0605467512443765
135,4.053,0.0471701434113166
136,4.057,0.0728673110906159
137,4.060,0.0971564147874879
138,4.064,0.133766078330599
139,4.067,0.201001133491506
140,4.071,0.300269644252635
141,4.074,0.461844986236175
142,4.077,0.672702567604672
143,4.081,0.98036454776505
144,4.084,1.10427417821866
145,4.088,1.26936968015827
146,4.091,1.27042572814509
147,4.095,1.08948950640317
148,4.098,0.823717429720006
149,4.101,0.647357415920979
150,4.105,0.37876921127296
151,4.108,0.313646252085695
152,4.112,0.147142686163659
153,4.115,0.120037454501933
154,4.119,0.0672350551609065
155,4.122,0.0387217595167524
156,4.125,0.0471701434113166
157,4.129,0.0468181274157098
158,4.132,0.0443540154464619
159,4.136,0.0809636789895733
160,4.139,0.030977407613402
161,4.143,0.0570265912883081
162,4.146,0.0316814396046156
163,4.149,0.0535064313322397
164,4.153,0.0563225592970945
165,4.156,0.0799076310027528
166,4.160,0.0658269911784791
167,4.163,0.0640669112004449
168,4.167,0.0763874710466844
169,4.170,0.026401199670513
170,4.173,0.057378607283915
171,4.177,0.039777807503573
172,4.180,0.0556185273058808
173,4.184,0.0559705433014876
174,4.187,0.0552665113102739
175,4.191,0.0725152950950091
176,4.194,0.0362576475475046
177,4.197,0.0591386872619492
178,4.201,0.0503382873717782
179,4.204,0.0612507832355902
180,4.208,0.0436499834552482
181,4.211,0.0608987672399834
182,4.215,0.0542104633234534
183,4.218,0.0880039989017101
184,4.221,0.0538584473278466
185,4.225,0.0735713430818296
186,4.228,0.0520983673498124
187,4.232,0.0651229591872655
188,4.235,0.0735713430818296
189,4.239,0.0619548152268039
190,4.242,0.0760354550510775
191,4.245,0.0728673110906159
192,4.249,0.0447060314420687
193,4.252,0.0549144953146671
194,4.256,0.0735713430818296
195,4.259,0.0549144953146671
196,4.263,0.0605467512443765
197,4.266,0.0700511831257612
198,4.269,0.074979407064257
199,4.273,0.0953963348094537
200,4.276,0.066179007174086
201,4.280,0.0756834390554707
202,4.283,0.0700511831257612
203,4.287,0.0651229591872655
204,4.290,0.0725152950950091
205,4.293,0.0936362548314195
206,4.297,0.0975084307830948
207,4.300,0.0608987672399834
208,4.304,0.0799076310027528
209,4.307,0.113349150585403
210,4.311,0.0971564147874879
211,4.314,0.124613662444821
212,4.317,0.100676574743556
213,4.321,0.106308830673266
214,4.324,0.13482212631742
215,4.328,0.147846718154873
216,4.331,0.118629390519505
217,4.335,0.0869479509148896
218,4.338,0.0777955350291117
219,4.341,0.0953963348094537
220,4.345,0.0587866712663423
221,4.348,0.0665310231696928
222,4.352,0.0795556150071459
223,4.355,0.0531544153366329
224,4.359,0.0520983673498124
225,4.362,0.0320334556002225
226,4.365,0.0742753750730433
227,4.369,0.0665310231696928
228,4.372,0.0788515830159322
229,4.376,0.0989164947655221
230,4.379,0.0556185273058808
231,4.383,0.0482261913981371
232,4.386,0.0721632790994023
233,4.389,0.0721632790994023
234,4.393,0.0689951351389407
235,4.396,0.0640669112004449
236,4.400,0.0468181274157098
237,4.403,0.0851878709368554
238,4.407,0.0809636789895733
239,4.410,0.0704031991213681
240,4.413,0.0711072311125818
241,4.417,0.0721632790994023
242,4.420,0.0432979674596414
243,4.424,0.0982124627743085
244,4.427,0.0528023993410261
245,4.431,0.0489302233893508
246,4.434,0.0802596469983596
247,4.437,0.0658269911784791
248,4.441,0.0950443188138469
249,4.444,0.0693471511345475
250,4.448,0.0841318229500349
251,4.451,0.083779806954428
252,4.455,0.0876519829061033
253,4.458,0.0908201268665648
254,4.461,0.0834277909588212
255,4.465,0.0865959349192827
256,4.468,0.0591386872619492
257,4.472,0.0696991671301544
258,4.475,0.0626588472180176
259,4.479,0.0640669112004449
260,4.482,0.0696991671301544
261,4.485,0.0732193270862228
262,4.489,0.0897640788797443
263,4.492,0.0746273910686502
264,4.496,0.0865959349192827
265,4.499,0.0971564147874879
266,4.503,0.0876519829061033
267,4.506,0.0855398869324622
268,4.509,0.0503382873717782
269,4.513,0.0478741754025303
270,4.516,0.0524503833454192
271,4.520,0.0693471511345475
272,4.523,0.0707552151169749
273,4.527,0.0496342553805645
274,4.530,0.0665310231696928
275,4.533,0.0735713430818296
276,4.537,0.0545624793190603
277,4.540,0.0784995670203254
278,4.544,0.0644189271960518
279,4.547,0.0489302233893508
280,4.551,0.0348495835650772
281,4.554,0.0626588472180176
282,4.557,0.0535064313322397
283,4.561,0.0447060314420687
284,4.564,0.0475221594069234
285,4.568,0.035201599560684
286,4.571,0.0844838389456417
287,4.575,0.057378607283915
288,4.578,0.0461140954244961
289,4.581,0.0489302233893508
290,4.585,0.0520983673498124
291,4.588,0.0387217595167524
292,4.592,0.0376657115299319
293,4.595,0.0735713430818296
294,4.599,0.0788515830159322
295,4.602,0.0499862713761713
296,4.605,0.0623068312224107
297,4.609,0.048578207393744
298,4.612,0.0714592471081886
299,4.616,0.0577306232795218
300,4.619,0.0788515830159322
301,4.623,0.0718112631037954
302,4.626,0.085891902928069
303,4.629,0.0545624793190603
304,4.633,0.0601947352487697
305,4.636,0.0777955350291117
306,4.640,0.0517463513542055
307,4.643,0.0605467512443765
308,4.647,0.0872999669104964
309,4.650,0.110533022620548
310,4.653,0.0672350551609065
311,4.657,0.0468181274157098
312,4.660,0.0559705433014876
313,4.664,0.0704031991213681
314,4.667,0.0612507832355902
315,4.671,0.0918761748533853
316,4.674,0.112645118594189
317,4.677,0.139046318264702
318,4.681,0.148902766141693
319,4.684,0.290061180380036
320,4.688,0.352720027598054
321,4.691,0.489654249889115
322,4.695,0.591386872619492
323,4.698,0.607931624413013
324,4.701,0.548792937151064
325,4.705,0.502678841726568
326,4.708,0.420307098754567
327,4.712,0.304493836199917
328,4.715,0.19607290955301
329,4.719,0.165447517935215
330,4.722,0.143974542203198
331,4.725,0.173191869838565
332,4.729,0.291469244362464
333,4.732,0.746273910686502
334,4.736,1.95404079161357
335,4.739,4.48961200796964
336,4.743,9.65615077549124
337,4.746,18.8532726927112
338,4.749,32.9208879251473
339,4.753,51.925879511965
340,4.756,71.058652905188
341,4.760,88.5904575503911
342,4.763,98.4627461471849
343,4.767,100
344,4.770,90.4860636867339
345,4.773,75.0966283907941
346,4.777,55.2049085110427
347,4.780,37.4193003330071
348,4.784,23.351685100571
349,4.787,13.1217482522406
350,4.791,7.17831018241469
351,4.794,3.53424059589268
352,4.797,1.78014488978379
353,4.801,0.94586698019558
354,4.804,0.518167545533269
355,4.808,0.324910763945114
356,4.811,0.239018861017045
357,4.815,0.20170516548272
358,4.818,0.184808397693591
359,4.821,0.146086638176839
360,4.825,0.158407198023078
361,4.828,0.148902766141693
362,4.832,0.158407198023078
363,4.835,0.122853582466787
364,4.839,0.111237054611762
365,4.842,0.12813382240089
366,4.845,0.131301966361351
367,4.849,0.106308830673266
368,4.852,0.104548750695232
369,4.856,0.13587817430424
370,4.859,0.147494702159266
371,4.863,0.0820197269763938
372,4.866,0.117221326537078
373,4.869,0.107012862664479
374,4.873,0.0971564147874879
375,4.876,0.123205598462394
376,4.880,0.0742753750730433
377,4.883,0.0728673110906159
378,4.887,0.0809636789895733
379,4.890,0.0795556150071459
380,4.893,0.0978604467787016
381,4.897,0.0971564147874879
382,4.900,0.0725152950950091
383,4.904,0.0908201268665648
384,4.907,0.0640669112004449
385,4.911,0.101732622730377
386,4.914,0.111589070607368
387,4.917,0.0799076310027528
388,4.921,0.107716894655693
389,4.924,0.12144551848436
390,4.928,0.149606798132907
391,4.931,0.24289103696872
392,4.935,0.318222460028584
393,4.938,0.418547018776533
394,4.941,0.431923626609593
395,4.945,0.502678841726568
396,4.948,0.442836122473405
397,4.952,0.416082906807285
398,4.955,0.368208731404755
399,4.959,0.311534156112054
400,4.962,0.185160413689198
401,4.965,0.153126958088976
402,4.969,0.104196734699625
403,4.972,0.114405198572223
404,4.976,0.0968043987918811
405,4.979,0.083779806954428
406,4.983,0.0739233590774365
407,4.986,0.0894120628841375
408,4.989,0.0971564147874879
409,4.993,0.108420926646907
410,4.996,0.0876519829061033
411,5.000,0.0760354550510775
412,5.003,0.0763874710466844
413,5.007,0.057378607283915
414,5.010,0.1080689106513
415,5.013,0.0887080308929238
416,5.017,0.126725758418463
417,5.020,0.0827237589676075
418,5.024,0.114053182576616
