#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
0,3.590,0.0490138142480725
1,3.594,0.0650041366268762
2,3.597,0.07160883500073
3,3.601,0.0726516821123911
4,3.604,0.0351091860925909
5,3.608,0.0563137440297003
6,3.611,0.0455376572092021
7,3.614,0.0333711075731557
8,3.618,0.0347615703887039
9,3.621,0.0479709671364114
10,3.625,0.0507518927675077
11,3.628,0.0344139546848168
12,3.632,0.0566613597335873
13,3.635,0.062570826699667
14,3.638,0.0514471241752817
15,3.642,0.0347615703887039
16,3.645,0.0670898308501985
17,3.649,0.0549232812141521
18,3.652,0.0413662687625576
19,3.656,0.0406710373547835
20,3.659,0.0761278391512615
21,3.662,0.0615279795880059
22,3.666,0.0653517523307633
23,3.669,0.0559661283258132
24,3.673,0.0500566613597336
25,3.676,0.0545756655102651
26,3.680,0.0465805043208632
27,3.683,0.0437995786897669
28,3.686,0.062570826699667
29,3.690,0.0632660581074411
30,3.693,0.0260711777915279
31,3.697,0.0778659176706967
32,3.700,0.0187712480099001
33,3.704,0.0378901117236872
34,3.707,0.0232902521604316
35,3.710,0.0441471943936539
36,3.714,0.0472757357286373
37,3.717,0.0347615703887039
38,3.721,0.0291997191265113
39,3.724,0.0163379380826908
40,3.728,0.0458852729130891
41,3.731,0.0371948803159131
42,3.734,0.0604851324763447
43,3.738,0.0371948803159131
44,3.741,0.0260711777915279
45,3.745,0.0330234918692687
46,3.748,0.0431043472819928
47,3.752,0.0608327481802318
48,3.755,0.0340663389809298
49,3.758,0.0455376572092021
50,3.762,0.0250283306798668
51,3.765,0.0364996489081391
52,3.769,0.0469281200247502
53,3.772,0.027114024903189
54,3.776,0.036152033204252
55,3.779,0.0392805745392354
56,3.782,0.00869039259717597
57,3.786,0.035804417500365
58,3.789,0.036152033204252
59,3.793,0.0410186530586706
60,3.796,0.0250283306798668
61,3.800,0.0656993680346503
62,3.803,0.0483185828402984
63,3.806,0.0295473348303983
64,3.810,0.0406710373547835
65,3.813,0.0364996489081391
66,3.817,0.0312854133498335
67,3.820,0.0274616406070761
68,3.824,0.0431043472819928
69,3.827,0.0410186530586706
70,3.830,0.0208569422332223
71,3.834,0.0399758059470095
72,3.837,0.0531852026947169
73,3.841,0.0305901819420594
74,3.844,0.0333711075731557
75,3.848,0.0413662687625576
76,3.851,0.0257235620876409
77,3.854,0.0173807851943519
78,3.858,0.0305901819420594
79,3.861,0.0326758761653816
80,3.865,0.0347615703887039
81,3.868,0.0236378678643186
82,3.872,0.0441471943936539
83,3.875,0.035804417500365
84,3.878,0.0198140951215612
85,3.882,0.0305901819420594
86,3.885,0.044494810097541
87,3.889,0.0413662687625576
88,3.892,0.0396281902431224
89,3.896,0.027114024903189
90,3.899,0.0295473348303983
91,3.902,0.0521423555830558
92,3.906,0.0309377976459465
93,3.909,0.0545756655102651
94,3.913,0.0656993680346503
95,3.916,0.0385853431314613
96,3.920,0.0500566613597336
97,3.923,0.0424091158742187
98,3.926,0.0382377274275743
99,3.930,0.026766409199302
100,3.933,0.0319806447576076
101,3.937,0.0396281902431224
102,3.940,0.0507518927675077
103,3.944,0.0413662687625576
104,3.947,0.0580518225491355
105,3.950,0.0531852026947169
106,3.954,0.0493614299519595
107,3.957,0.0862086945639856
108,3.961,0.0483185828402984
109,3.964,0.0917705458261782
110,3.968,0.0670898308501985
111,3.971,0.0653517523307633
112,3.975,0.0510995084713947
113,3.978,0.0431043472819928
114,3.981,0.0976800127922579
115,3.985,0.0848182317484375
116,3.988,0.0608327481802318
117,3.992,0.0594422853646836
118,3.995,0.0302425662381724
119,3.999,0.0309377976459465
120,4.002,0.027114024903189
121,4.005,0.035456801796478
122,4.009,0.0437995786897669
123,4.012,0.0121665496360464
124,4.016,0.0403234216508965
125,4.019,0.0385853431314613
126,4.023,0.027114024903189
127,4.026,0.0170331694904649
128,4.029,0.00799516118940189
129,4.033,0.035456801796478
130,4.036,0.0403234216508965
131,4.040,0.035804417500365
132,4.043,0.0149474752671427
133,4.047,0.0844706160445504
134,4.050,0.228731133157672
135,4.053,0.528028254204412
136,4.057,1.5072616920542
137,4.060,3.508137683628
138,4.064,7.30097262873948
139,4.067,13.974151296259
140,4.071,23.8419182825003
141,4.074,38.558576722262
142,4.077,54.7418258167231
143,4.081,71.0662068869623
144,4.084,83.5174537844922
145,4.088,88.2954316344195
146,4.091,85.0097680012792
147,4.095,74.0136404402205
148,4.098,58.4800850963243
149,4.101,42.3340308821791
150,4.105,27.6716004922238
151,4.108,17.3905184340608
152,4.112,10.2181636157595
153,4.115,5.66196458491209
154,4.119,2.92136237546667
155,4.122,1.63483665538074
156,4.125,0.882596272169191
157,4.129,0.456071803499795
158,4.132,0.304163740901159
159,4.136,0.212045579371094
160,4.139,0.169984079200762
161,4.143,0.140436744370364
162,4.146,0.089684851602856
163,4.149,0.0969847813844838
164,4.153,0.0955943185689357
165,4.156,0.08099445900568
166,4.160,0.098375244200032
167,4.163,0.0837753846367763
168,4.167,0.0886420044911949
169,4.170,0.0799516118940189
170,4.173,0.0855134631562115
171,4.177,0.0841230003406634
172,4.180,0.0827325375251152
173,4.184,0.0830801532290023
174,4.187,0.062570826699667
175,4.191,0.0469281200247502
176,4.194,0.0914229301222912
177,4.197,0.0709136035929559
178,4.201,0.0962895499767097
179,4.204,0.0855134631562115
180,4.208,0.0695231407774078
181,4.211,0.0782135333745837
182,4.215,0.0688279093696337
183,4.218,0.0674374465540855
184,4.221,0.0615279795880059
185,4.225,0.0914229301222912
186,4.228,0.0747373763357133
187,4.232,0.071261219296843
188,4.235,0.062918442403554
189,4.239,0.0563137440297003
190,4.242,0.0785611490784708
191,4.245,0.0378901117236872
192,4.249,0.0497090456558465
193,4.252,0.0531852026947169
194,4.256,0.0684802936657466
195,4.259,0.0528375869908299
196,4.263,0.0663945994424244
197,4.266,0.0573565911413614
198,4.269,0.0931610086417264
199,4.273,0.0650041366268762
200,4.276,0.0768230705590356
201,4.280,0.0577042068452484
202,4.283,0.0782135333745837
203,4.287,0.0948990871611616
204,4.290,0.0778659176706967
205,4.293,0.0848182317484375
206,4.297,0.0736945292240522
207,4.300,0.126879731918769
208,4.304,0.0980276284961449
209,4.307,0.10567517398166
210,4.311,0.123055959176012
211,4.314,0.160250839491925
212,4.317,0.196402872696177
213,4.321,0.181455397429034
214,4.324,0.210307500851658
215,4.328,0.191536252841758
216,4.331,0.207874190924449
217,4.335,0.189102942914549
218,4.338,0.142522438593686
219,4.341,0.111584640947739
220,4.345,0.0837753846367763
221,4.348,0.0688279093696337
222,4.352,0.0889896201950819
223,4.355,0.0702183721851818
224,4.359,0.0389329588353483
225,4.362,0.0608327481802318
226,4.365,0.0862086945639856
227,4.369,0.0549232812141521
228,4.372,0.0424091158742187
229,4.376,0.0580518225491355
230,4.379,0.0646565209229892
